Mar 13 13:18:41 raspberrypi triod315: [COURSE:1][ASSIGNMENT:3]: Linux raspberrypi 5.15.84-v8+ #1613 SMP PREEMPT Thu Jan 5 12:03:08 GMT 2023 aarch64 GNU/Linux
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=0, sum[0...0]=0, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=2, sum[0...2]=3, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=1, sum[0...1]=1, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=3, sum[0...3]=6, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=4, sum[0...4]=10, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=5, sum[0...5]=15, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=6, sum[0...6]=21, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=7, sum[0...7]=28, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=8, sum[0...8]=36, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=9, sum[0...9]=45, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=10, sum[0...10]=55, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=11, sum[0...11]=66, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=12, sum[0...12]=78, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=13, sum[0...13]=91, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=14, sum[0...14]=105, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=15, sum[0...15]=120, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=16, sum[0...16]=136, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=17, sum[0...17]=153, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=18, sum[0...18]=171, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=19, sum[0...19]=190, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=20, sum[0...20]=210, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=21, sum[0...21]=231, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=22, sum[0...22]=253, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=23, sum[0...23]=276, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=24, sum[0...24]=300, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=25, sum[0...25]=325, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=26, sum[0...26]=351, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=27, sum[0...27]=378, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=28, sum[0...28]=406, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=29, sum[0...29]=435, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=30, sum[0...30]=465, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=31, sum[0...31]=496, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=32, sum[0...32]=528, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=33, sum[0...33]=561, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=34, sum[0...34]=595, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=35, sum[0...35]=630, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=36, sum[0...36]=666, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=37, sum[0...37]=703, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=38, sum[0...38]=741, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=39, sum[0...39]=780, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=40, sum[0...40]=820, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=41, sum[0...41]=861, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=42, sum[0...42]=903, running on core:3
